what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367770311703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367770312468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367770316250
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367770319187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367770329906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367770330031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367770332156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367770334671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367770358375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367770371453
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1367770372828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367770373937
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367770375937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367770431843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367770441484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367770443390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778706656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778710203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778760718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778764359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778796546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778797625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778798515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367778803468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778804406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778806343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367778810562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778811265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367778812828
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367778816265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367778825250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367779415984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367779419500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367779461781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367779489390
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367779493328
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367779495531
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367779523250
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367779554234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367779556218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367779558453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367779562656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367779564812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367779566593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367779570500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367779571281
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367779572156
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367779575109
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367779575984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1367779577625
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1367779592234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367779594468
